"Step","deeplabv3plus_bs16_epch184 - val_0_mIoU","deeplabv3plus_bs16_epch184 - val_0_mIoU__MIN","deeplabv3plus_bs16_epch184 - val_0_mIoU__MAX"
"44","0.008802738040685654","0.008802738040685654","0.008802738040685654"
"573","0.1013815701007843","0.1013815701007843","0.1013815701007843"
"1100","0.23891818523406982","0.23891818523406982","0.23891818523406982"
"1628","0.3940345048904419","0.3940345048904419","0.3940345048904419"
"2155","0.5315896272659302","0.5315896272659302","0.5315896272659302"
"2683","0.5665971040725708","0.5665971040725708","0.5665971040725708"
"3210","0.6023531556129456","0.6023531556129456","0.6023531556129456"
"3738","0.6369108557701111","0.6369108557701111","0.6369108557701111"
"4265","0.6524951457977295","0.6524951457977295","0.6524951457977295"
"4793","0.6627265810966492","0.6627265810966492","0.6627265810966492"
"5320","0.6886661648750305","0.6886661648750305","0.6886661648750305"
"5848","0.716244637966156","0.716244637966156","0.716244637966156"
"6375","0.7142118811607361","0.7142118811607361","0.7142118811607361"
"6903","0.7333648800849915","0.7333648800849915","0.7333648800849915"
"7430","0.72080397605896","0.72080397605896","0.72080397605896"
"7958","0.7409442663192749","0.7409442663192749","0.7409442663192749"
"8485","0.752728283405304","0.752728283405304","0.752728283405304"
"9013","0.7415425181388855","0.7415425181388855","0.7415425181388855"
"9540","0.7576619386672974","0.7576619386672974","0.7576619386672974"
"10068","0.7664070129394531","0.7664070129394531","0.7664070129394531"
"10595","0.7703787684440613","0.7703787684440613","0.7703787684440613"
"11122","0.7718015313148499","0.7718015313148499","0.7718015313148499"
"11650","0.7757675647735596","0.7757675647735596","0.7757675647735596"
"12177","0.7719915509223938","0.7719915509223938","0.7719915509223938"
"12705","0.765059232711792","0.765059232711792","0.765059232711792"
"13232","0.7730869054794312","0.7730869054794312","0.7730869054794312"
"13760","0.7733299732208252","0.7733299732208252","0.7733299732208252"
"14287","0.7725040912628174","0.7725040912628174","0.7725040912628174"
"14815","0.7758780717849731","0.7758780717849731","0.7758780717849731"
"15342","0.7761678695678711","0.7761678695678711","0.7761678695678711"
"15870","0.7796818017959595","0.7796818017959595","0.7796818017959595"
"16397","0.7805233001708984","0.7805233001708984","0.7805233001708984"
"16925","0.7863682508468628","0.7863682508468628","0.7863682508468628"
"17452","0.7860265970230103","0.7860265970230103","0.7860265970230103"
"17980","0.7853162288665771","0.7853162288665771","0.7853162288665771"
"18507","0.7807262539863586","0.7807262539863586","0.7807262539863586"
"19035","0.781324028968811","0.781324028968811","0.781324028968811"
"19562","0.7822898626327515","0.7822898626327515","0.7822898626327515"
"20090","0.7849960923194885","0.7849960923194885","0.7849960923194885"
"20617","0.7822147011756897","0.7822147011756897","0.7822147011756897"
"21165","0.786446750164032","0.786446750164032","0.786446750164032"
"21693","0.7855746746063232","0.7855746746063232","0.7855746746063232"
"22220","0.7865676879882812","0.7865676879882812","0.7865676879882812"
"22748","0.7796012163162231","0.7796012163162231","0.7796012163162231"
"23275","0.7828018069267273","0.7828018069267273","0.7828018069267273"
"23803","0.7865924835205078","0.7865924835205078","0.7865924835205078"
"24330","0.7863160371780396","0.7863160371780396","0.7863160371780396"
"24858","0.7862788438796997","0.7862788438796997","0.7862788438796997"
"25385","0.7872854471206665","0.7872854471206665","0.7872854471206665"
"25913","0.7850250005722046","0.7850250005722046","0.7850250005722046"
"26440","0.7856265902519226","0.7856265902519226","0.7856265902519226"
"26968","0.7873619198799133","0.7873619198799133","0.7873619198799133"
"27495","0.7860193252563477","0.7860193252563477","0.7860193252563477"
"28023","0.7853504419326782","0.7853504419326782","0.7853504419326782"
"28550","0.7843667268753052","0.7843667268753052","0.7843667268753052"
"29078","0.7848243117332458","0.7848243117332458","0.7848243117332458"
"29605","0.783226490020752","0.783226490020752","0.783226490020752"
"30133","0.7850797772407532","0.7850797772407532","0.7850797772407532"
"30660","0.7854751348495483","0.7854751348495483","0.7854751348495483"
"31188","0.7861030697822571","0.7861030697822571","0.7861030697822571"
"31715","0.7863081693649292","0.7863081693649292","0.7863081693649292"
"32242","0.785666823387146","0.785666823387146","0.785666823387146"